,Price,Area,Floor,Bedroom,Restroom,Roadfrontage,Legal,Lat,Long
154,6.9,56.0,4.376208706594749,4.400430418302397,4.723825963364526,0.0,0.0,10.8030656,106.65227606400094
155,5.85,76.0,3.0,3.2135279788812587,3.0,1.0,1.0,10.8121855,106.70404172557386
156,1.35,76.0,3.0,4.0,5.0,1.0,1.0,10.8030656,106.65227606400094
157,2.7,58.0,2.520604284497962,2.0,2.0,1.0,1.0,10.7705525,106.5995228258806
158,3.0,17.0,4.0,2.0,3.0,1.0,1.0,10.77526035,106.69957286491967
159,1.55,40.0,2.0,2.0,2.0,0.0,1.0,10.8352833,106.67406562042235
161,5.51,63.0,2.0,4.0,3.262651202458445,0.0,1.0,10.8010732,106.6798916250364
162,5.8,85.0,3.0,3.0,2.3539856472691967,0.0,1.0,10.7763897,106.7011391
164,9.7,60.0,6.0,5.0,5.0,0.0,1.0,10.8030656,106.65227606400094
166,7.9,62.0,3.1591126459710117,3.189578992356237,4.051634480690435,0.0,0.0,10.8030656,106.65227606400094
168,14.0,60.0,4.0,3.0,3.0,0.0,1.0,10.8352833,106.67406562042235
169,1.75,40.0,2.0,2.0,2.0,0.0,1.0,10.77875265,106.6870307478091
170,7.3,64.0,3.145634083832001,4.0,5.0,1.0,0.0,10.7705525,106.5995228258806
171,7.5,55.0,3.0,4.0,3.0,1.0,1.0,10.7377548,106.72971280655216
172,3.0,34.0,3.0,4.0,4.0,1.0,0.0,10.8352833,106.67406562042235
