,Price,Area,Floor,Bedroom,Restroom,Roadfrontage,Legal,Lat,Long
271,1.95,42.0,2.0,2.0,2.0,0,1,10.7705525,106.5995228258806
272,6.25,48.0,4.0,4.0,4.0,0,0,10.8010732,106.6798916250364
273,13.7,126.0,1.0,2.0,2.0,0,0,10.8121855,106.70404172557386
275,7.4,60.0,3.0,,3.0,0,1,10.8121855,106.70404172557386
279,2.4,20.0,2.0,2.0,2.0,0,1,10.8352833,106.67406562042235
280,9.0,173.0,5.0,4.0,3.0,0,1,10.74586825,106.63910717557408
281,7.1,98.0,2.0,4.0,,0,1,10.8121855,106.70404172557386
282,8.5,52.0,4.0,4.0,3.0,0,0,10.8010732,106.6798916250364
285,7.7,60.0,3.0,3.0,4.0,1,0,10.8352833,106.67406562042235
286,12.0,60.0,5.0,4.0,4.0,0,1,10.8121855,106.70404172557386
287,3.1,54.0,2.0,2.0,2.0,0,1,10.8298295,106.7617899
288,4.5,66.0,3.0,,,1,1,10.7726536,106.66821544343898
289,7.9,30.0,4.0,4.0,4.0,0,1,10.77526035,106.69957286491967
290,5.0,60.0,3.0,2.0,2.0,0,1,10.86141075,106.66420925636412
291,7.2,62.0,5.0,,,0,1,10.8121855,106.70404172557386
292,5.95,57.0,3.0,3.0,3.0,0,1,10.79159445,106.6278536218016
293,9.0,45.0,8.0,5.0,6.0,1,1,10.8121855,106.70404172557386
294,2.8,126.0,1.0,,,1,1,10.8298295,106.7617899
295,7.9,63.0,3.0,2.0,2.0,0,1,10.8121855,106.70404172557386
296,7.7,80.0,3.0,4.0,5.0,0,0,10.7377548,106.72971280655216
297,3.85,62.0,6.0,3.0,3.0,1,1,10.7607295,106.70710890359896
298,4.7,83.0,3.0,4.0,4.0,0,1,10.7763897,106.7011391
299,8.3,75.0,2.0,3.0,,0,1,10.77875265,106.6870307478091
300,1.9,19.0,4.0,2.0,2.0,1,1,10.7763897,106.7011391
302,2.85,34.0,3.0,2.0,2.0,0,1,10.8352833,106.67406562042235
303,4.4,55.0,3.0,,,0,1,10.8298295,106.7617899
304,12.5,63.0,3.0,5.0,5.0,0,1,10.77526035,106.69957286491967
305,5.5,43.0,3.0,3.0,4.0,0,0,10.79159445,106.6278536218016
306,8.8,53.0,3.0,4.0,4.0,0,0,10.8010732,106.6798916250364
307,9.5,70.0,4.0,6.0,6.0,1,1,10.7500035,106.51488582967848
308,6.28,46.0,5.0,5.0,3.0,0,1,10.8352833,106.67406562042235
309,6.8,57.0,6.0,5.0,5.0,0,1,10.7763897,106.7011391
310,5.9,45.0,4.0,3.0,4.0,0,0,10.8010732,106.6798916250364
311,1.75,5.0,2.0,2.0,2.0,0,1,10.8030656,106.65227606400094
312,2.45,20.0,3.0,2.0,2.0,0,0,10.7763897,106.7011391
313,7.9,75.0,4.0,4.0,,0,1,10.8030656,106.65227606400094
314,4.0,53.0,3.0,2.0,3.0,0,1,10.7763897,106.7011391
315,8.3,5.0,4.0,4.0,4.0,1,1,10.7377548,106.72971280655216
316,3.5,29.0,5.0,2.0,2.0,0,0,10.7659529,106.6475594370616
317,3.6,52.0,2.0,2.0,2.0,0,1,10.7705525,106.5995228258806
318,5.95,47.0,2.0,2.0,3.0,1,1,10.79159445,106.6278536218016
319,7.7,80.0,3.0,4.0,5.0,0,1,10.7377548,106.72971280655216
320,8.5,95.0,4.0,5.0,5.0,0,0,10.8352833,106.67406562042235
322,6.5,56.0,3.0,2.0,,1,0,10.8352833,106.67406562042235
323,8.5,62.0,5.0,4.0,5.0,0,1,10.8030656,106.65227606400094
324,3.5,58.0,4.0,4.0,4.0,0,1,10.8352833,106.67406562042235
325,6.1,63.0,4.0,3.0,3.0,1,1,10.8298295,106.7617899
326,5.7,26.0,3.0,4.0,4.0,0,0,10.8352833,106.67406562042235
328,5.0,50.0,,3.0,3.0,1,1,10.8352833,106.67406562042235
329,4.7,51.0,,,,1,0,10.79159445,106.6278536218016
330,8.48,72.0,4.0,5.0,4.0,0,1,10.8121855,106.70404172557386
331,0.36,60.0,2.0,3.0,3.0,1,1,10.878345,106.57635314823771
333,2.55,14.0,2.0,2.0,2.0,0,1,10.77526035,106.69957286491967
334,2.8,50.0,3.0,2.0,1.0,1,1,10.8298295,106.7617899
335,7.5,50.0,2.0,3.0,,0,0,10.8352833,106.67406562042235
338,2.7,30.0,,2.0,3.0,1,1,10.77875265,106.6870307478091
339,8.9,190.0,4.0,,,0,1,10.77875265,106.6870307478091
340,0.56,75.0,,2.0,2.0,1,1,10.878345,106.57635314823771
342,4.7,105.0,3.0,2.0,2.0,0,1,10.86141075,106.66420925636412
343,2.85,74.0,,2.0,2.0,1,1,10.86141075,106.66420925636412
344,4.2,40.0,4.0,3.0,3.0,0,1,10.8030656,106.65227606400094
345,4.0,30.0,,,,1,0,10.7500035,106.51488582967848
346,7.5,115.0,,7.0,7.0,1,1,10.86141075,106.66420925636412
347,9.5,30.0,5.0,3.0,,1,1,10.7726536,106.66821544343898
348,3.0,38.0,3.0,,,1,1,10.7500035,106.51488582967848
349,1.55,2.0,,2.0,2.0,0,1,10.7607295,106.70710890359896
350,5.3,75.0,1.0,2.0,1.0,0,0,10.7763897,106.7011391
351,3.0,54.0,,2.0,2.0,0,0,10.86141075,106.66420925636412
352,4.8,64.0,2.0,3.0,3.0,0,1,10.7705525,106.5995228258806
353,2.05,48.0,2.0,2.0,2.0,0,1,10.7220335,106.62949387003158
354,6.8,68.0,3.0,4.0,,0,1,10.8298295,106.7617899
355,3.5,55.0,,,,0,1,10.7705525,106.5995228258806
356,4.6,49.0,3.0,3.0,2.0,1,0,10.8352833,106.67406562042235
357,3.4,49.0,2.0,3.0,2.0,1,1,10.8352833,106.67406562042235
358,5.6,64.0,5.0,4.0,4.0,0,1,10.86141075,106.66420925636412
359,3.9,46.0,3.0,5.0,3.0,1,1,10.7220335,106.62949387003158
360,1.85,5.0,2.0,2.0,2.0,0,1,10.8030656,106.65227606400094
361,7.4,60.0,3.0,4.0,5.0,0,0,10.8121855,106.70404172557386
364,5.9,32.0,3.0,4.0,4.0,0,1,10.8352833,106.67406562042235
365,4.0,64.0,3.0,3.0,3.0,0,1,10.86141075,106.66420925636412
366,7.7,70.0,4.0,4.0,6.0,0,1,10.8352833,106.67406562042235
367,10.0,152.0,2.0,5.0,3.0,0,1,10.7763897,106.7011391
368,3.95,45.0,3.0,2.0,2.0,0,1,10.8352833,106.67406562042235
370,4.4,49.0,3.0,3.0,,0,1,10.7705525,106.5995228258806
371,3.5,75.0,3.0,,,1,1,10.7705525,106.5995228258806
372,6.7,54.0,4.0,2.0,2.0,0,1,10.8352833,106.67406562042235
373,9.7,83.0,3.0,5.0,5.0,0,0,10.7763897,106.7011391
374,6.5,50.0,,,,0,1,10.74586825,106.63910717557408
375,12.0,68.0,5.0,4.0,4.0,0,1,10.8352833,106.67406562042235
376,3.4,22.0,3.0,,,0,0,10.7763897,106.7011391
377,9.0,3.0,3.0,3.0,2.0,1,1,10.74586825,106.63910717557408
378,6.0,61.0,,2.0,2.0,1,0,10.7705525,106.5995228258806
379,3.9,18.0,,3.0,3.0,1,1,10.77875265,106.6870307478091
380,8.6,175.0,,5.0,4.0,1,1,10.8298295,106.7617899
381,5.58,68.0,2.0,3.0,2.0,1,1,10.86141075,106.66420925636412
382,8.4,46.0,,4.0,4.0,0,0,10.8121855,106.70404172557386
383,13.55,140.0,,,,1,1,10.8121855,106.70404172557386
384,4.0,42.0,,,,0,0,10.79159445,106.6278536218016
385,6.5,139.0,4.0,7.0,,1,1,10.8298295,106.7617899
386,3.6,140.0,3.0,3.0,,1,1,10.7705525,106.5995228258806
387,5.3,36.0,3.0,3.0,4.0,0,0,10.8010732,106.6798916250364
388,5.3,130.0,2.0,2.0,,0,1,10.7705525,106.5995228258806
389,4.6,70.0,1.0,,,0,0,10.7705525,106.5995228258806
390,3.8,40.0,3.0,2.0,2.0,1,1,10.79159445,106.6278536218016
391,4.9,62.0,,2.0,2.0,0,0,10.7705525,106.5995228258806
392,4.8,50.0,3.0,3.0,3.0,0,0,10.8121855,106.70404172557386
393,4.35,34.0,,3.0,3.0,0,1,10.8030656,106.65227606400094
394,4.5,120.0,2.0,2.0,3.0,0,1,10.7500035,106.51488582967848
395,4.8,28.0,5.0,3.0,3.0,0,0,10.8010732,106.6798916250364
396,6.6,72.0,3.0,3.0,4.0,0,1,10.7763897,106.7011391
397,1.75,46.0,3.0,2.0,2.0,1,1,10.7607295,106.70710890359896
399,4.0,74.0,3.0,,,0,1,10.7500035,106.51488582967848
400,10.2,55.0,3.0,4.0,5.0,0,1,10.77875265,106.6870307478091
401,5.75,48.0,3.0,,2.0,0,0,10.8121855,106.70404172557386
402,6.0,8.0,3.0,3.0,3.0,0,1,10.8121855,106.70404172557386
404,4.48,40.0,3.0,4.0,3.0,0,0,10.7705525,106.5995228258806
405,12.0,52.0,3.0,4.0,4.0,1,0,10.8030656,106.65227606400094
407,3.0,40.0,,2.0,,1,0,10.7763897,106.7011391
408,6.0,44.0,,6.0,2.0,0,0,10.8352833,106.67406562042235
409,9.3,67.0,5.0,5.0,5.0,1,1,10.7377548,106.72971280655216
410,1.75,2.0,2.0,2.0,2.0,0,1,10.8030656,106.65227606400094
411,4.65,45.0,3.0,3.0,3.0,0,1,10.8352833,106.67406562042235
412,5.5,41.0,4.0,3.0,3.0,0,0,10.77875265,106.6870307478091
413,4.0,60.0,,2.0,2.0,0,1,10.86141075,106.66420925636412
414,3.3,50.0,,,,0,1,10.77875265,106.6870307478091
415,8.2,77.0,3.0,4.0,5.0,0,1,10.7705525,106.5995228258806
416,9.8,50.0,4.0,4.0,4.0,1,1,10.7726536,106.66821544343898
418,4.5,84.0,1.0,2.0,2.0,0,1,10.79159445,106.6278536218016
419,1.85,5.0,2.0,2.0,2.0,0,1,10.7377548,106.72971280655216
