Price,Area,Floor,Bedroom,Restroom,Address,Roadfrontage,Legal
8.0,40.0,5.0,3.0,3.0,Thành phố Hồ Chí Minh,False,Good
6.3,46.0,3.0,3.0,3.0,"Quận 3, Thành phố Hồ Chí Minh",True,Good
3.8,33.0,,2.0,2.0,"Tân Bình, Thành phố Hồ Chí Minh",False,
5.2,60.0,3.0,4.0,3.0,"Quận 12, Thành phố Hồ Chí Minh",False,Good
5.8,32.0,5.0,,,"Tân Bình, Thành phố Hồ Chí Minh",False,
2.35,60.0,,2.0,2.0,"Quận 4, Thành phố Hồ Chí Minh",False,Good
3.5,49.0,3.0,2.0,2.0,Thành phố Hồ Chí Minh,True,Good
1.75,48.0,2.0,2.0,2.0,"Quận 8, Thành phố Hồ Chí Minh",True,Good
4.5,52.0,3.0,2.0,1.0,"Quận 12, Thành phố Hồ Chí Minh",False,Good
5.6,42.0,,2.0,2.0,"Quận 3, Thành phố Hồ Chí Minh",False,Good
4.9,120.0,,10.0,10.0,"Quận 12, Thành phố Hồ Chí Minh",False,Good
16.86,200.0,,,,"Bình Chánh, Thành phố Hồ Chí Minh",False,Good
15.2,43.0,7.0,3.0,4.0,"Quận 10, Thành phố Hồ Chí Minh",True,Good
9.7,70.0,6.0,3.0,4.0,"Gò Vấp, Thành phố Hồ Chí Minh",True,Good
7.3,56.0,4.0,4.0,5.0,"Bình Tân, Thành phố Hồ Chí Minh",False,Good
0.695,56.0,,3.0,3.0,"Hóc Môn, Thành phố Hồ Chí Minh",True,
3.65,40.0,3.0,2.0,2.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,Good
6.4,54.0,2.0,,,"Tân Bình, Thành phố Hồ Chí Minh",False,Good
3.2,27.0,3.0,,,"Bình Tân, Thành phố Hồ Chí Minh",False,
6.0,55.0,4.0,6.0,5.0,"Quận 5, Thành phố Hồ Chí Minh",False,Good
1.8,32.0,2.0,2.0,2.0,"Quận 7, Thành phố Hồ Chí Minh",False,Good
8.2,85.0,4.0,4.0,4.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,Good
15.5,70.0,3.0,4.0,4.0,"Tân Phú, Thành phố Hồ Chí Minh",True,Good
3.85,78.0,1.0,,,"Quận 9, Thành phố Hồ Chí Minh",True,Good
4.5,26.0,5.0,4.0,4.0,"Quận 5, Thành phố Hồ Chí Minh",False,
5.6,,3.0,4.0,,"Quận 3, Thành phố Hồ Chí Minh",False,
6.4,58.0,6.0,4.0,5.0,"Quận 12, Thành phố Hồ Chí Minh",True,Good
7.5,62.0,5.0,4.0,4.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,Good
5.3,56.0,3.0,3.0,3.0,"Tân Phú, Thành phố Hồ Chí Minh",False,
6.5,88.0,2.0,3.0,2.0,"Quận 9, Thành phố Hồ Chí Minh",True,Good
6.5,60.0,,2.0,3.0,"Bình Thạnh, Thành phố Hồ Chí Minh",False,Good
1.5,45.0,3.0,4.0,4.0,Thành phố Hồ Chí Minh,False,
2.0,130.0,2.0,,,"Quận 8, Thành phố Hồ Chí Minh",False,Good
1.85,33.0,2.0,2.0,2.0,"Tân Bình, Thành phố Hồ Chí Minh",False,
2.43,8.0,2.0,2.0,2.0,"Quận 7, Thành phố Hồ Chí Minh",False,Good
5.8,36.0,4.0,,,"Tân Bình, Thành phố Hồ Chí Minh",False,Good
5.95,50.0,3.0,4.0,4.0,"Tân Bình, Thành phố Hồ Chí Minh",False,Good
6.9,56.0,,,,"Tân Bình, Thành phố Hồ Chí Minh",False,
5.85,76.0,3.0,,3.0,"Bình Thạnh, Thành phố Hồ Chí Minh",True,Good
1.35,76.0,3.0,4.0,5.0,"Tân Bình, Thành phố Hồ Chí Minh",True,Good
2.7,58.0,,2.0,2.0,"Bình Tân, Thành phố Hồ Chí Minh",True,Good
3.0,17.0,4.0,2.0,3.0,"Quận 1, Thành phố Hồ Chí Minh",True,Good
1.55,40.0,2.0,2.0,2.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,Good
6.9,52.0,4.0,8.0,3.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,
5.51,63.0,2.0,4.0,,"Phú Nhuận, Thành phố Hồ Chí Minh",False,Good
5.8,85.0,3.0,3.0,,Thành phố Hồ Chí Minh,False,Good
12.6,95.0,6.0,13.0,14.0,"Gò Vấp, Thành phố Hồ Chí Minh",True,
9.7,60.0,6.0,5.0,5.0,"Tân Bình, Thành phố Hồ Chí Minh",False,Good
6.3,46.0,3.0,3.0,3.0,"Quận 3, Thành phố Hồ Chí Minh",True,Good
450.0,45.0,2.0,2.0,2.0,"Hóc Môn, Thành phố Hồ Chí Minh",False,Good
7.9,62.0,,,,"Tân Bình, Thành phố Hồ Chí Minh",False,
3.2,34.0,4.0,8.0,,"Bình Tân, Thành phố Hồ Chí Minh",False,Good
14.0,60.0,4.0,3.0,3.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,Good
1.75,40.0,2.0,2.0,2.0,"Quận 3, Thành phố Hồ Chí Minh",False,Good
7.3,64.0,,4.0,5.0,"Bình Tân, Thành phố Hồ Chí Minh",True,
